taxa_id,Kingdom,Phylum,Class,Orders,Family,Genus,Species,common_name,RecordsWithDenominators,NeoplasiaWithDenominators,NeoplasiaPrevalence,-,MalignancyKnown,Malignant,MalignancyPrevalence,PropMalignant,Benign,BenignPrevalence,PropBenign,--,Male,MaleNeoplasia,MaleMalignant,Female,FemaleNeoplasia,FemaleMalignant,---,RecordsFromAllSources,NeoplasiaFromAllSources,Necropsies,#Sources
2027,Animalia,Chordata,Reptilia,Squamata,Agamidae,Gonocephalus,Gonocephalus chamaeleontinus,Chameleon Forest Dragon,40,0,0,-,9,0,0,0.333333333,0,0,0.666666667,-,6,0,0,13,0,0,-,49,9,40,10
1,Animalia,Chordata,Mammalia,Carnivora,Ailuridae,Ailurus,Ailurus fulgens,Red Panda,38,2,0.052631579,-,3,1,0.026315789,0.666666667,1,0.026315789,0.333333333,-,14,0,0,16,1,0,-,39,3,38,21
3491,Animalia,Chordata,Aves,Passeriformes,Icteridae,Psarocolius,Psarocolius decumanus,NA,13,2,0.153846154,-,2,0,0,0,2,0.153846154,1,-,2,1,0,5,1,0,-,13,2,13,7
3656,Animalia,Chordata,Reptilia,Squamata,Diplodactylidae,Rhacodactylus,Rhacodactylus leachianus,NA,11,1,0.090909091,-,1,1,0.090909091,1,0,0,0,-,3,1,1,2,0,0,-,11,1,11,4
3618,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Python,Python regius,NA,18,3,0.166666667,-,2,1,0.055555556,0.5,1,0.055555556,0.5,-,4,1,1,8,1,0,-,18,3,18,12
2410,Animalia,Chordata,Aves,Charadriiformes,Jacanidae,Jacana,Jacana jacana,Wattled Jacana,10,0,0,-,0,0,0,NA,0,0,NA,-,1,0,0,4,0,0,-,10,0,10,5
2474,Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis pyromelana,NA,11,0,0,-,0,0,0,NA,0,0,NA,-,5,0,0,2,0,0,-,11,0,11,7
4062,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Tangara,Tangara chilensis,NA,10,0,0,-,0,0,0,NA,0,0,NA,-,5,0,0,4,0,0,-,10,0,10,4
3923,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus humboldti,Humboldt Penguin,376,4,0.010638298,-,4,2,0.005319149,0.5,2,0.005319149,0.5,-,38,1,0,14,1,1,-,376,4,376,10
1854,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Euphonia,Euphonia violacea,NA,35,0,0,-,0,0,0,NA,0,0,NA,-,16,0,0,11,0,0,-,35,0,35,7
3392,Animalia,Chordata,Reptilia,Testudines,Podocnemididae,Podocnemis,Podocnemis expansa,Arrau Turtle,11,0,0,-,0,0,0,NA,0,0,NA,-,4,0,0,2,0,0,-,11,0,11,6
109,Animalia,Chordata,Aves,Galliformes,Phasianidae,Afropavo,Afropavo congensis,Congo peacock,17,0,0,-,0,0,0,NA,0,0,NA,-,5,0,0,4,0,0,-,17,0,17,6
85,Animalia,Chordata,Reptilia,Testudines,Emydidae,Actinemys,Actinemys marmorata,NA,13,0,0,-,0,0,0,NA,0,0,NA,-,2,0,0,2,0,0,-,13,0,13,5
4505,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes zerda,NA,22,7,0.318181818,-,10,6,0.272727273,0.8,1,0.045454545,0.2,-,9,4,3,6,2,2,-,25,10,22,11
727,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,Cattle,12,1,0.083333333,-,2,1,0.083333333,1,0,0,0,-,2,0,0,5,1,1,-,13,2,12,8
11,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera pardus,NA,20,6,0.3,-,6,2,0.1,0.5,3,0.15,0.5,-,12,4,2,8,2,0,-,21,7,20,15
